OBJECTID_1 *,Shape *,tmk_txt,OSDS Present,Newly Developed (2005 - 2021),500-ft Sewer Buffer,500-ft Coastline Buffer,WWTP 1-Mi Buffer,CEJST LIDAC,Sea Grant Priority,Island,AOI,Shape_Length,Shape_Area
240,Polygon,379007047,Yes,Yes,No,No,No,Yes,Medium,HAW,Kealakehe,0.003187,0.000001
243,Polygon,379007050,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.003111,0.000001
244,Polygon,379007053,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.002192,0
245,Polygon,379007054,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.009006,0.000002
247,Polygon,379007056,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.003688,0.000001
248,Polygon,379007058,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.001142,0
249,Polygon,379007059,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.001063,0
250,Polygon,379007060,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.00095,0
252,Polygon,379007062,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.003766,0.000001
253,Polygon,379007063,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.000691,0
254,Polygon,379007064,Yes,No,No,No,No,Yes,Medium,HAW,Kealakehe,0.000982,0
256,Polygon,381031002,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001324,0
257,Polygon,381031004,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001205,0
258,Polygon,381031005,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.0012,0
260,Polygon,381031007,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001397,0
262,Polygon,381031009,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002064,0
263,Polygon,381031012,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002578,0
264,Polygon,381031013,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005707,0.000001
265,Polygon,381031014,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003086,0.000001
267,Polygon,381012008,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001073,0
269,Polygon,381020046,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001144,0
270,Polygon,381020047,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001484,0
271,Polygon,381020048,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001399,0
273,Polygon,379009043,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.004773,0.000001
275,Polygon,379011037,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00614,0.000002
276,Polygon,379011038,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.011129,0.000003
277,Polygon,379011039,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.005481,0.000002
281,Polygon,379012026,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.013704,0.000004
287,Polygon,381012026,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001146,0
288,Polygon,381012027,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001094,0
289,Polygon,381012028,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001103,0
290,Polygon,381012029,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001089,0
291,Polygon,381012030,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001179,0
292,Polygon,381012031,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001204,0
295,Polygon,381012034,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001221,0
296,Polygon,381012035,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00102,0
297,Polygon,381012036,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.00104,0
299,Polygon,381012038,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001125,0
300,Polygon,381012039,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001274,0
304,Polygon,379007069,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.001514,0
313,Polygon,381022092,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001036,0
314,Polygon,381022093,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001027,0
315,Polygon,381022094,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001035,0
319,Polygon,379011020,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.001735,0
323,Polygon,379011025,Yes,No,No,No,Yes,Yes,Medium,HAW,Kealakehe,0.00241,0
324,Polygon,379011026,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002571,0
325,Polygon,379011027,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003029,0.000001
328,Polygon,379010067,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.01638,0.000004
329,Polygon,379010068,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.002549,0
330,Polygon,379010069,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003486,0.000001
336,Polygon,381003049,Yes,No,No,No,Yes,No,Low,HAW,Kealakehe,0.003565,0.000001
